Samples#,MLS23S,RRSA,O23S,A16S,TET16S,LMRD,ANT6,TETW,TUFAB,TET40,RRSH,BEXA,RPOC,TETQ,VANRD,RPOB,MSRD,TETO,MEFA,MEFE,ERMG,LNUA,VANSD,VANHD,TET32,EMEA,VANYD,VAND,YYBT,FOLP,GYRA,ANT9,EFRA
GWP_16P_S126_L007,125.360775950189,111.92513477198206,120.32820012457226,67.12843598658826,78.7726264977494,0.0,6.625538986768381,1.8699030929453733,0.0,1.9602587706552643,0.0,0.0,0.0,3.3553401293973053,4.45138590366395,0.0,0.0,3.7398061858907465,0.0,0.0,0.0,0.0,5.221369893041182,2.567713672458321,0.0,0.0,3.448812620994348,0.0,0.0,0.0,0.0,0.0,0.0
GWP_17P_S127_L007,117.52264578934755,103.63792705773899,133.0525291053466,47.04976976354055,74.50267143247437,0.0,1.338000902383667,0.0,0.0,0.0,0.0,3.13526157396389,0.0,5.661702883824719,1.6595805184072092,0.0,0.0,1.2083820649652492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_18P_S128_L007,209.5963851192503,117.37393159260661,205.51237029688883,52.6390162707081,75.41238792081084,0.0,0.0,0.0,0.0,0.0,0.0,2.504336233144327,0.0,2.771153364526059,3.8177692275230255,0.0,0.0,0.0,0.9062145782527149,0.0,0.0,0.0,3.2989057395765062,2.9742857484998058,0.0,0.0,0.0,2.154893968054421,0.0,0.0,0.0,0.0,0.0
GWP_1P_S123_L007,77.59620411326517,108.10798103695528,88.07640687013588,66.29613064273337,26.74800087120769,0.0,2.2945241559094223,0.0,0.0,1.3330483201966512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_2P_S124_L007,70.46349787706544,85.3666144122157,77.4459547521015,43.39280366897533,22.416695121052086,0.0,6.011485424344783,29.27005321560049,0.0,4.083006551435116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4227078356952187,0.0,0.0,0.0,0.0,0.0,0.0,1.74985995061505,0.0
GWP_3P_S125_L007,89.44048039746295,106.57404398920825,79.11489796397329,54.61601950693973,40.00348925434585,0.0,2.7338024663437044,6.172413381041645,0.0,0.0,0.0,1.9277206955805737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_25P_S132_L007,112.7110347547756,103.54466971372409,95.82878982613757,62.070495608839636,83.55138446620629,0.0,2.5646974585015507,0.0,0.0,2.367461511447255,0.0,0.0,0.0,5.310761372791218,3.817326517632351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8618576343104049,0.0,0.0,0.0,0.0,0.0
GWP26_S46_L001,92.4489738884756,102.58050329151737,112.21339705223566,54.02749575355192,26.705130456042188,0.0,0.0,0.0,0.0,3.4822590257703308,0.0,0.0,0.0,0.0,4.0551628712118015,0.0,0.0,1.5993604605339253,0.0,0.0,0.0,0.0,0.0,1.9441418703546292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_27P_S133_L007,49.832943499312826,74.26286544090812,0.0,61.88448792612144,0.0,0.0,4.884529995580979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_4P_S129_L007,159.63213343763817,106.65250683505936,110.69811561467772,88.20176657644538,59.54578289215766,0.0,2.8715617237786835,2.8527170999663856,0.0,5.301453265963889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1867583635752466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_5P_S130_L007,134.72420918940546,112.20683272487564,115.48494438427535,51.15132117977942,20.15858830139165,0.0,3.926242819527628,0.0,0.0,3.345506166614696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_6P_S131_L007,68.5009603547257,94.43625237350602,77.26701166813451,41.1034879120972,0.0,0.0,2.801186785375416,2.069854212716323,0.0,2.1698717381465142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724878510596936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_10P_S140_L007,660.2200925292369,180.35160880633538,113.53228459052272,134.13186056661513,54.31856517081612,61.89872476416495,8.531042705340822,8.709545501077573,0.0,3.160523031954061,0.0,12.675014242732432,0.0,3.088935380204842,0.0,0.0,8.566766066633678,0.0,6.552225315837933,0.0,3.281461413278834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_11P_S141_L007,1741.5279494542667,269.98710217985314,155.0805604820627,396.32937019989447,128.8922938199086,194.38169144410813,3.16238388421731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9143530216604807,0.0,0.0,1.3868420979344502,0.0,0.0,0.0,1.2937394948430203
GWP_12P_S142_L007,249.08498299698743,269.55367074773704,221.50329861995883,62.322326702717355,149.27247545426545,183.16367971189715,3.699393342338759,4.5342341166924385,6.715607260903902,0.0,0.0,2.4079384593150928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.493585249996271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5064622574427398,2.0248573407876918,2.01445211293164,0.0,0.0
GWP_19P_S143_L007,168.42025510666616,170.9531749919601,285.09551350540056,222.77365189957226,61.57217560767596,24.975612101564955,2.0855988172210385,0.0,0.0,3.290953088598854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_20P_S144_L007,486.54177625811894,268.8780059034874,219.57453283353607,81.60582565025922,87.79711342624937,118.1985652076235,0.0,0.0,17.32107032570321,4.748985733056932,0.0,0.0,7.429724151160612,0.0,0.0,5.355992222638678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_21P_S145_L007,997.7956292724641,186.0643656947095,361.34794976647004,78.33611752866453,71.06539526101244,24.745014835191242,2.348009112888692,0.0,4.901763999174352,3.3345190841515087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_13P_S146_L007,561.9045115132544,154.90423095371483,112.47558825332395,183.43556524207094,55.283762806050916,53.79808710415656,7.25937492589408,3.4505910420779426,0.0,2.1703963311350205,0.0,6.09293553375925,0.0,0.0,0.0,0.0,2.715219180651496,0.0,3.3746611658463985,0.0,2.929481374498825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_14P_S147_L007,394.8059969758266,136.00863219586822,116.13635854374343,39.14185942386141,45.2524078312215,29.388496363886247,4.692280932049065,0.0,0.0,3.3318653301282053,0.0,3.233869291006788,0.0,0.0,0.0,0.0,2.451909093591212,0.0,0.0,0.0,1.3023473607319853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_15P_S148_L007,956.1713144129013,168.54207130866538,109.77181652085572,243.1639513152526,64.68493861247269,100.30394136275335,5.668054687445274,3.071377133759408,0.0,2.8978103669867634,0.0,3.689341902413703,0.0,0.0,0.0,0.0,0.0,0.0,2.4030334542860894,0.0,0.0,0.0,0.0,0.0,1.6380678046716841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_34P_S149_L007,354.5860792936167,94.17406049295553,63.99447757621823,34.93717970809689,51.253353544999825,33.46894641195496,12.72393975974277,0.0,9.725518620908913,0.0,0.0,0.0,4.163894590277267,0.0,0.0,3.5927117617352784,0.0,0.0,0.0,2.166468140553217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_35P_S150_L007,181.96723639245684,118.71617928191793,75.85363886169893,38.363026087773974,67.90078574923247,34.7266690753306,3.8860735474123915,0.0,6.349043528153034,0.0,39.60260505941543,3.63608261115571,2.7182867084820432,0.0,0.0,0.0,0.0,0.0,0.0,7.857336207104812,0.0,6.157210828959326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWP_36P_S151_L007,1141.8179325879187,187.04894084518378,121.02792907189136,46.403985734088955,98.6517961999654,116.24065818958992,0.0,0.0,10.205891095487592,0.0,0.0,0.0,6.302761879524375,0.0,0.0,6.010410440683977,0.0,0.0,0.0,2.7557290746296212,0.0,2.879280280704634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993706363643357,0.0,0.0,0.0
